Severity,Customer Record ID,Account Name,Case Number,Status,Date/Time Opened,Date/Time Closed,Resolution Time,Ambari Version,Stack Version,Product Component,Apache BugID URL,Hortonworks BugID URL,HOTFIX BugID URL,EAR URL,Root Cause,Enhancement Request Number,Environment
S1 - Production Down,675102448,VGVyYWRhdGEgQ29ycG9yYXRpb24=,109653,Closed,20170122 024439.000,20170123 175414.000,0 days 0 hours0 mn,2.4,2.5,Ranger,,,,,Education - Configuration,,
S1 - Production Down,1883077067,VGVyYWRhdGEgQ29ycG9yYXRpb24=,109654,Closed,20170122 030006.000,20170123 175520.000,0 days 0 hours19 mn,2.4,2.5,YARN,,,,,Education - Non Configuration,,
S1 - Production Down,1291324732,VmVyaXpvbg==,109669,Closed,20170123 021132.000,20170207 054241.000,0 days 3 hours18 mn,,1.3.2,HDFS,,,,,Customer Environment (Non HDP),,
S1 - Production Down,100065311,UmVuYXVsdA==,109695,Closed,20170123 130520.000,20170123 141726.000,0 days 1 hours12 mn,2.4.2.0,2.5.3,Spark,,,,,Education - Configuration,,
S1 - Production Down,2114998052,UHJvZ3Jlc3NpdmUgSW5zdXJhbmNl,109697,Closed,20170123 134120.000,20170123 145650.000,0 days 1 hours15 mn,2.4.2.0,2.3.4,HDFS,,,,,Customer Environment (Non HDP),,ENV-00068
S1 - Production Down,1007853496,QmxhY2sgS25pZ2h0IEZpbmFuY2lhbCBTZXJ2aWNlcw==,109724,Closed,20170123 160855.000,20170123 184652.000,0 days 1 hours54 mn,2.2.1,2.3.4,HDFS,,,,,Education - Configuration,,
S1 - Production Down,471724535,SGVsbWVyaWNoICYgUGF5bmU=,109730,Closed,20170123 163918.000,20170123 222412.000,0 days 5 hours45 mn,2.4.2.0,2.5,Ambari,,,,,Education - Configuration,,ENV-01127
S1 - Production Down,445715227,U3RhcGxlcw==,109758,Closed,20170123 182322.000,20170123 191538.000,0 days 0 hours52 mn,2.1.2.1,2.3.2,HDFS,,,,,Education - Configuration,,
S1 - Production Down,1934640919,Q2VydGlseXRpY3M=,109760,Closed,20170123 183632.000,20170124 151818.000,0 days 4 hours36 mn,1.7.0,2.1.10,Hive,,,,,Use Case Advice,,
S1 - Production Down,362097427,U2NobHVtYmVyZ2Vy,109865,Closed,20170124 105108.000,20170209 122519.000,0 days 0 hours31 mn,2.4.2.0,2.5.3,HDFS,,,,,Unreproducible,,
S1 - Production Down,1885587832,TGxveWRzIEJhbmtpbmcgR3JvdXA=,109874,Closed,20170124 132044.000,20170221 100242.000,27 days 20 hours42 mn,2.2.2,2.3.4,YARN,,,,https://hortonworks.jira.com/browse/EAR-5349,Unreproducible,,
S1 - Production Down,1436469460,QWJib3R0IExhYm9yYXRvcmllcw==,109916,Closed,20170124 165158.000,20170125 203902.000,0 days 5 hours40 mn,2.2.2,2.3.2,Hive,,,,,Education - Configuration,,
S1 - Production Down,1406496540,SG9ydG9ud29ya3MsIEluYy4=,109977,Closed,20170124 224736.000,20170127 192925.000,2 days 20 hours40 mn,2.4,2.5.3,Hive,,,,,Education - Non Configuration,,
S1 - Production Down,1250717493,Qm9sZCBMTEM=,109998,Closed,20170125 065720.000,20170222 075053.000,7 days 23 hours4 mn,,2.3.4,Hive,,,,,Education - Configuration,,
S1 - Production Down,1446691491,TmV4Z2Vu,110016,Closed,20170125 111350.000,20170130 113514.000,1 days 1 hours11 mn,2.1.2.1,2.3.2,Ambari,,,,,Education - Configuration,,
S1 - Production Down,1920930596,QWV0bmE=,110069,Closed,20170125 170748.000,20170125 193413.000,0 days 2 hours26 mn,,2,NiFI,,,,,Education - Configuration,,
S1 - Production Down,631218114,TWFya2V0bw==,110089,Closed,20170125 184321.000,20170222 213346.000,14 days 2 hours45 mn,2.2.0,2.3.4,Hbase,,,,https://hortonworks.jira.com/browse/EAR-5371,Unreproducible,,ENV-01113
S1 - Production Down,2019391643,Q2hhcnRlciBDb21tdW5pY2F0aW9ucywgSW5jLiAoVmlkZW8gT3BzKQ==,110092,Closed,20170125 190323.000,20170125 201821.000,0 days 0 hours36 mn,,2.1.1,NiFI,,,,,Education - Configuration,,
S1 - Production Down,180226205,Q2hhcnRlciBDb21tdW5pY2F0aW9ucywgSW5jLiAoVmlkZW8gT3BzKQ==,110144,Closed,20170125 231419.000,20170127 175941.000,1 days 18 hours45 mn,,2.1.1,NiFI,,,,,Education - Configuration,,
S1 - Production Down,199303616,VE1XIFN5c3RlbXM=,110164,Closed,20170126 020642.000,20170202 235047.000,7 days 21 hours44 mn,2.2.2,2.3.6.0,Hive,,,,,Education - Configuration,,
S1 - Production Down,1131557767,VGVsZWZvbmljYSBNZXhpY28=,110221,Closed,20170126 161817.000,20170127 161421.000,0 days 2 hours44 mn,2.2.1.1,2.4.0,HDFS,,,,,Use Case Advice,,
S1 - Production Down,91062140,TWljcm9uIFRlY2hub2xvZ3k=,110253,Closed,20170126 192427.000,20170126 210947.000,0 days 1 hours45 mn,2.2.2,2.3.4,HDFS,,,,,Education - Configuration,,
S1 - Production Down,1435797283,VFgtVW5pdmVyc2l0eSBvZiBOb3J0aCBUZXhhcw==,110283,Closed,20170126 221901.000,20170131 180416.000,3 days 19 hours15 mn,2.2.2,2.4.2,HDFS,,,,,Unreproducible,,ENV-01017
S1 - Production Down,1125296271,SXJkZXRvIENhbmFkYSBDb3Jwb3JhdGlvbg==,110285,Closed,20170126 222237.000,20170127 021138.000,0 days 3 hours49 mn,2.1.2,2.3.2,Hbase,,,,,Education - Non Configuration,,
S1 - Production Down,1141170084,V2FsLU1hcnQgU3RvcmVzIEluYy4=,110297,Closed,20170127 003137.000,20170127 010129.000,0 days 0 hours30 mn,2.2.2.18,2.3.2,HDFS,,,,,Education - Configuration,,
S1 - Production Down,1420264418,RnJlZXBvcnQtTWNNb1JhbiBDb3BwZXIgJiBHb2xk,110305,Closed,20170127 024626.000,20170127 044759.000,0 days 2 hours2 mn,2.4.2.0,2.3.4,Ambari,,,,,Customer Environment (Non HDP),,ENV-00683
S1 - Production Down,449714428,VmlzdWFsIElR,110325,Closed,20170127 090542.000,20170127 093726.000,0 days 0 hours32 mn,2.2.0,2.4.0,Ambari,,,,,Education - Configuration,,ENV-00534
S1 - Production Down,796651537,R29sZG1hbiBTYWNocyBHcm91cCwgSW5jLg==,110336,Closed,20170127 113719.000,20170127 134422.000,0 days 2 hours7 mn,,2.1.1,HDFS,,,,,Education - Configuration,,
S1 - Production Down,1149138256,TWVya2xl,110450,Closed,20170128 175849.000,20170129 010920.000,0 days 7 hours11 mn,2.2.1.1,2.3.4,Map Reduce,,,,,Education - Configuration,,ENV-00445
S1 - Production Down,358748285,QWR2YW5jZWQgTWljcm8gRGV2aWNlcw==,110451,Closed,20170128 181303.000,20170206 155557.000,8 days 21 hours43 mn,2.4.1.0,2.5,Zookeeper,,,,,Education - Configuration,,
S1 - Production Down,1371610203,ZUJheSBJbmM=,110453,Closed,20170129 083934.000,20170208 181633.000,10 days 9 hours37 mn,Not using Ambari,2.4.2,Hbase,https://issues.apache.org/jira/browse/HBASE-16721,,,https://hortonworks.jira.com/browse/EAR-5368,Education - Configuration,,
S1 - Production Down,1062636520,Um93YW4gQ29tcGFuaWVz,110459,Closed,20170129 115130.000,20170130 101107.000,0 days 18 hours2 mn,2.4.2.0,2.5.3,HDFS,,,,https://hortonworks.jira.com/browse/EAR-5369,Education - Configuration,,ENV-01084
